anchor_date,split,raw_hours,cache_complete_hours,selection_rule,selection_uses_outcomes,state_context_semantics,passenger_january_status,manifest_version
2022-04-04,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-04-11,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-04-18,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-04-25,train,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-05-02,validation,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-05-09,validation,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-05-16,validation,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-05-23,validation,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-05-30,validation,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-06-06,test,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-06-13,test,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-06-20,test,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
2022-06-27,test,24,24,ALL_LOCALLY_AVAILABLE_COMPLETE_STATE_VECTOR_ANCHOR_DAYS,False,REQUEST_DRIVEN_SNAPSHOT_LOOKBACK_WITH_COMPLETE_ANCHOR_PARTITIONS,NOT_APPLICABLE,CURRENT_DATA_ADAPT_FULL_V1_20260724
